question,uid,topical_hit
What abnormality is present according to the report?,30,True
Is the heart size normal?,30,True
What are the key findings in this chest X-ray report?,31,True
What abnormality is present according to the report?,31,True
What are the key findings in this chest X-ray report?,32,True
What abnormality is present according to the report?,32,True
What are the key findings in this chest X-ray report?,33,True
What abnormality is present according to the report?,33,True
What are the key findings in this chest X-ray report?,34,True
What abnormality is present according to the report?,34,True
Is the heart size normal?,34,True
What are the key findings in this chest X-ray report?,35,True
What abnormality is present according to the report?,35,True
What are the key findings in this chest X-ray report?,36,True
What abnormality is present according to the report?,36,True
Is the heart size normal?,36,True
What are the key findings in this chest X-ray report?,37,True
What abnormality is present according to the report?,37,True
Is there any opacity?,37,True
What are the key findings in this chest X-ray report?,38,True
What abnormality is present according to the report?,38,True
Is the heart size normal?,38,True
What are the key findings in this chest X-ray report?,39,True
What abnormality is present according to the report?,39,True
What are the key findings in this chest X-ray report?,40,True
What abnormality is present according to the report?,40,True
What are the key findings in this chest X-ray report?,41,True
What abnormality is present according to the report?,41,True
Is there any opacity?,41,True
What are the key findings in this chest X-ray report?,42,True
What abnormality is present according to the report?,42,True
Is the heart size normal?,42,True
What are the key findings in this chest X-ray report?,43,True
What abnormality is present according to the report?,43,True
What are the key findings in this chest X-ray report?,44,True
What abnormality is present according to the report?,44,True
Is the heart size normal?,44,True
What are the key findings in this chest X-ray report?,45,True
What abnormality is present according to the report?,45,True
Is there any cardiomegaly?,45,True
What are the key findings in this chest X-ray report?,46,True
What abnormality is present according to the report?,46,True
Is the heart size normal?,46,True
What are the key findings in this chest X-ray report?,47,True
What abnormality is present according to the report?,47,True
What are the key findings in this chest X-ray report?,48,True
What abnormality is present according to the report?,48,True
What are the key findings in this chest X-ray report?,49,True
What abnormality is present according to the report?,49,True
What are the key findings in this chest X-ray report?,50,True
What abnormality is present according to the report?,50,True
Is there any cardiomegaly?,50,True
What are the key findings in this chest X-ray report?,51,True
What abnormality is present according to the report?,51,True
What are the key findings in this chest X-ray report?,52,True
What abnormality is present according to the report?,52,True
Is the heart size normal?,52,True
What are the key findings in this chest X-ray report?,53,True
What abnormality is present according to the report?,53,True
Is there any opacity?,53,True
Is there any atelectasis?,53,True
What are the key findings in this chest X-ray report?,54,True
What abnormality is present according to the report?,54,True
Is there any atelectasis?,54,True
What are the key findings in this chest X-ray report?,55,True
What abnormality is present according to the report?,55,True
What are the key findings in this chest X-ray report?,56,True
What abnormality is present according to the report?,56,True
Is the heart size normal?,56,True
What are the key findings in this chest X-ray report?,57,True
What abnormality is present according to the report?,57,True
Is there any opacity?,57,True
What are the key findings in this chest X-ray report?,58,True
What abnormality is present according to the report?,58,True
What are the key findings in this chest X-ray report?,59,True
What abnormality is present according to the report?,59,True
What are the key findings in this chest X-ray report?,60,True
What abnormality is present according to the report?,60,True
What are the key findings in this chest X-ray report?,61,True
What abnormality is present according to the report?,61,True
What are the key findings in this chest X-ray report?,62,True
What abnormality is present according to the report?,62,True
What are the key findings in this chest X-ray report?,63,True
What abnormality is present according to the report?,63,True
What are the key findings in this chest X-ray report?,64,True
What abnormality is present according to the report?,64,True
Is there any pneumothorax?,64,True
What are the key findings in this chest X-ray report?,65,True
What abnormality is present according to the report?,65,True
Is the heart size normal?,65,True
What are the key findings in this chest X-ray report?,66,True
What abnormality is present according to the report?,66,True
Is the heart size normal?,66,True
What are the key findings in this chest X-ray report?,67,True
What abnormality is present according to the report?,67,True
What are the key findings in this chest X-ray report?,68,True
What abnormality is present according to the report?,68,True
Is the heart size normal?,68,True
What are the key findings in this chest X-ray report?,69,True
What abnormality is present according to the report?,69,True
Is the heart size normal?,69,True
What are the key findings in this chest X-ray report?,70,True
What abnormality is present according to the report?,70,True
What are the key findings in this chest X-ray report?,71,True
What abnormality is present according to the report?,71,True
Is the heart size normal?,71,True
What are the key findings in this chest X-ray report?,72,True
What abnormality is present according to the report?,72,True
Is the heart size normal?,72,True
What are the key findings in this chest X-ray report?,73,True
What abnormality is present according to the report?,73,True
Is there any effusion?,73,True
Is there any atelectasis?,73,True
What are the key findings in this chest X-ray report?,74,True
What abnormality is present according to the report?,74,True
What are the key findings in this chest X-ray report?,75,True
What abnormality is present according to the report?,75,True
Is there any opacity?,75,True
What are the key findings in this chest X-ray report?,76,True
What abnormality is present according to the report?,76,True
What are the key findings in this chest X-ray report?,77,True
What abnormality is present according to the report?,77,True
What are the key findings in this chest X-ray report?,78,True
What abnormality is present according to the report?,78,True
Is there any atelectasis?,78,True
What are the key findings in this chest X-ray report?,79,True
What abnormality is present according to the report?,79,True
Is the heart size normal?,79,True
What are the key findings in this chest X-ray report?,80,True
What abnormality is present according to the report?,80,True
Is the heart size normal?,80,True
What are the key findings in this chest X-ray report?,81,True
What abnormality is present according to the report?,81,True
Is the heart size normal?,81,True
What are the key findings in this chest X-ray report?,82,True
What abnormality is present according to the report?,82,True
What are the key findings in this chest X-ray report?,83,True
What abnormality is present according to the report?,83,True
Is the heart size normal?,83,True
What are the key findings in this chest X-ray report?,84,True
What abnormality is present according to the report?,84,True
What are the key findings in this chest X-ray report?,85,True
What abnormality is present according to the report?,85,True
What are the key findings in this chest X-ray report?,86,True
What abnormality is present according to the report?,86,True
Is the heart size normal?,86,True
What are the key findings in this chest X-ray report?,87,True
What abnormality is present according to the report?,87,True
Is the heart size normal?,87,True
What are the key findings in this chest X-ray report?,88,True
What abnormality is present according to the report?,88,True
Is there any cardiomegaly?,88,True
What are the key findings in this chest X-ray report?,89,True
What abnormality is present according to the report?,89,True
Is the heart size normal?,89,True
What are the key findings in this chest X-ray report?,90,True
What abnormality is present according to the report?,90,True
What are the key findings in this chest X-ray report?,91,True
What abnormality is present according to the report?,91,True
Is there any pneumothorax?,91,True
What are the key findings in this chest X-ray report?,92,True
What abnormality is present according to the report?,92,True
What are the key findings in this chest X-ray report?,93,True
What abnormality is present according to the report?,93,True
What are the key findings in this chest X-ray report?,94,True
What abnormality is present according to the report?,94,True
Is the heart size normal?,94,True
What are the key findings in this chest X-ray report?,95,True
What abnormality is present according to the report?,95,True
What are the key findings in this chest X-ray report?,96,True
What abnormality is present according to the report?,96,True
Is the heart size normal?,96,True
What are the key findings in this chest X-ray report?,97,True
What abnormality is present according to the report?,97,True
What are the key findings in this chest X-ray report?,98,True
What abnormality is present according to the report?,98,True
Is there any atelectasis?,98,True
What are the key findings in this chest X-ray report?,99,True
What abnormality is present according to the report?,99,True
What are the key findings in this chest X-ray report?,100,True
What abnormality is present according to the report?,100,True
Is the heart size normal?,100,True
What are the key findings in this chest X-ray report?,101,True
What abnormality is present according to the report?,101,True
Is there any cardiomegaly?,101,True
Is there any opacity?,101,True
Is there any atelectasis?,101,True
What are the key findings in this chest X-ray report?,102,True
What abnormality is present according to the report?,102,True
What are the key findings in this chest X-ray report?,103,True
What abnormality is present according to the report?,103,True
What are the key findings in this chest X-ray report?,104,True
What abnormality is present according to the report?,104,True
Is there any opacity?,104,True
What are the key findings in this chest X-ray report?,105,True
What abnormality is present according to the report?,105,True
Is there any effusion?,105,True
What are the key findings in this chest X-ray report?,106,True
What abnormality is present according to the report?,106,True
Is the heart size normal?,106,True
What are the key findings in this chest X-ray report?,107,True
What abnormality is present according to the report?,107,True
Is the heart size normal?,107,True
What are the key findings in this chest X-ray report?,108,True
What abnormality is present according to the report?,108,True
What are the key findings in this chest X-ray report?,110,True
What abnormality is present according to the report?,110,True
Is the heart size normal?,110,True
What are the key findings in this chest X-ray report?,111,True
What abnormality is present according to the report?,111,True
Is there any effusion?,111,True
What are the key findings in this chest X-ray report?,112,True
What abnormality is present according to the report?,112,True
What are the key findings in this chest X-ray report?,113,True
What abnormality is present according to the report?,113,True
Is there any opacity?,113,True
What are the key findings in this chest X-ray report?,114,True
What abnormality is present according to the report?,114,True
Is the heart size normal?,114,True
What are the key findings in this chest X-ray report?,115,True
What abnormality is present according to the report?,115,True
What are the key findings in this chest X-ray report?,116,True
What abnormality is present according to the report?,116,True
What are the key findings in this chest X-ray report?,117,True
What abnormality is present according to the report?,117,True
Is the heart size normal?,117,True
What are the key findings in this chest X-ray report?,118,True
What abnormality is present according to the report?,118,True
What are the key findings in this chest X-ray report?,119,True
What abnormality is present according to the report?,119,True
Is the heart size normal?,119,True
What are the key findings in this chest X-ray report?,120,True
What abnormality is present according to the report?,120,True
What are the key findings in this chest X-ray report?,121,True
What abnormality is present according to the report?,121,True
Is the heart size normal?,121,True
What are the key findings in this chest X-ray report?,122,True
What abnormality is present according to the report?,122,True
What are the key findings in this chest X-ray report?,123,True
What abnormality is present according to the report?,123,True
Is there any cardiomegaly?,123,True
Is there any opacity?,123,True
What are the key findings in this chest X-ray report?,124,True
What abnormality is present according to the report?,124,True
Is there any effusion?,124,True
What are the key findings in this chest X-ray report?,125,True
What abnormality is present according to the report?,125,True
What are the key findings in this chest X-ray report?,126,True
What abnormality is present according to the report?,126,True
Is there any opacity?,126,True
What are the key findings in this chest X-ray report?,127,True
What abnormality is present according to the report?,127,True
What are the key findings in this chest X-ray report?,128,True
What abnormality is present according to the report?,128,True
What are the key findings in this chest X-ray report?,129,True
What abnormality is present according to the report?,129,True
Is the heart size normal?,129,True
What are the key findings in this chest X-ray report?,130,True
What abnormality is present according to the report?,130,True
What are the key findings in this chest X-ray report?,131,True
What abnormality is present according to the report?,131,True
What are the key findings in this chest X-ray report?,132,True
What abnormality is present according to the report?,132,True
What are the key findings in this chest X-ray report?,133,True
What abnormality is present according to the report?,133,True
Is the heart size normal?,133,True
What are the key findings in this chest X-ray report?,134,True
What abnormality is present according to the report?,134,True
What are the key findings in this chest X-ray report?,135,True
What abnormality is present according to the report?,135,True
Is the heart size normal?,135,True
What are the key findings in this chest X-ray report?,136,True
What abnormality is present according to the report?,136,True
Is the heart size normal?,136,True
What are the key findings in this chest X-ray report?,137,True
What abnormality is present according to the report?,137,True
Is there any opacity?,137,True
Is there any atelectasis?,137,True
What are the key findings in this chest X-ray report?,138,True
What abnormality is present according to the report?,138,True
Is the heart size normal?,138,True
What are the key findings in this chest X-ray report?,139,True
What abnormality is present according to the report?,139,True
Is there any cardiomegaly?,139,True
Is there any opacity?,139,True
What are the key findings in this chest X-ray report?,141,True
What abnormality is present according to the report?,141,True
Is the heart size normal?,141,True
What are the key findings in this chest X-ray report?,142,True
What abnormality is present according to the report?,142,True
Is the heart size normal?,142,True
What are the key findings in this chest X-ray report?,143,True
What abnormality is present according to the report?,143,True
What are the key findings in this chest X-ray report?,144,True
What abnormality is present according to the report?,144,True
Is there any atelectasis?,144,True
What are the key findings in this chest X-ray report?,145,True
What abnormality is present according to the report?,145,True
Is there any effusion?,145,True
What are the key findings in this chest X-ray report?,146,True
What abnormality is present according to the report?,146,True
What are the key findings in this chest X-ray report?,147,True
What abnormality is present according to the report?,147,True
Is the heart size normal?,147,True
What are the key findings in this chest X-ray report?,149,True
What abnormality is present according to the report?,149,True
Is the heart size normal?,149,True
What are the key findings in this chest X-ray report?,150,True
What abnormality is present according to the report?,150,True
What are the key findings in this chest X-ray report?,151,True
What abnormality is present according to the report?,151,True
What are the key findings in this chest X-ray report?,152,True
What abnormality is present according to the report?,152,True
Is there any cardiomegaly?,152,True
What are the key findings in this chest X-ray report?,153,True
What abnormality is present according to the report?,153,True
Is there any effusion?,153,True
What are the key findings in this chest X-ray report?,154,True
What abnormality is present according to the report?,154,True
Is the heart size normal?,154,True
What are the key findings in this chest X-ray report?,155,True
What abnormality is present according to the report?,155,True
What are the key findings in this chest X-ray report?,157,True
What abnormality is present according to the report?,157,True
Is the heart size normal?,157,True
What are the key findings in this chest X-ray report?,158,True
What abnormality is present according to the report?,158,True
Is the heart size normal?,158,True
What are the key findings in this chest X-ray report?,159,True
What abnormality is present according to the report?,159,True
What are the key findings in this chest X-ray report?,160,True
What abnormality is present according to the report?,160,True
Is there any opacity?,160,True
What are the key findings in this chest X-ray report?,161,True
What abnormality is present according to the report?,161,True
Is there any atelectasis?,161,True
What are the key findings in this chest X-ray report?,162,True
What abnormality is present according to the report?,162,True
Is the heart size normal?,162,True
What are the key findings in this chest X-ray report?,163,True
What abnormality is present according to the report?,163,True
What are the key findings in this chest X-ray report?,164,True
What abnormality is present according to the report?,164,True
Is the heart size normal?,164,True
What are the key findings in this chest X-ray report?,165,True
What abnormality is present according to the report?,165,True
What are the key findings in this chest X-ray report?,166,True
What abnormality is present according to the report?,166,True
What are the key findings in this chest X-ray report?,167,True
What abnormality is present according to the report?,167,True
What are the key findings in this chest X-ray report?,168,True
What abnormality is present according to the report?,168,True
What are the key findings in this chest X-ray report?,169,True
What abnormality is present according to the report?,169,True
Is the heart size normal?,169,True
What are the key findings in this chest X-ray report?,170,True
What abnormality is present according to the report?,170,True
What are the key findings in this chest X-ray report?,171,True
What abnormality is present according to the report?,171,True
Is the heart size normal?,171,True
What are the key findings in this chest X-ray report?,172,True
What abnormality is present according to the report?,172,True
What are the key findings in this chest X-ray report?,173,True
What abnormality is present according to the report?,173,True
What are the key findings in this chest X-ray report?,174,True
What abnormality is present according to the report?,174,True
What are the key findings in this chest X-ray report?,175,True
What abnormality is present according to the report?,175,True
Is there any cardiomegaly?,175,True
Is there any opacity?,175,True
Is there any atelectasis?,175,True
What are the key findings in this chest X-ray report?,176,True
What abnormality is present according to the report?,176,True
Is the heart size normal?,176,True
What are the key findings in this chest X-ray report?,177,True
What abnormality is present according to the report?,177,True
Is there any cardiomegaly?,177,True
Is there any effusion?,177,True
Is there any opacity?,177,True
Is there any atelectasis?,177,True
What are the key findings in this chest X-ray report?,178,True
What abnormality is present according to the report?,178,True
Is there any opacity?,178,True
What are the key findings in this chest X-ray report?,179,True
What abnormality is present according to the report?,179,True
What are the key findings in this chest X-ray report?,181,True
What abnormality is present according to the report?,181,True
What are the key findings in this chest X-ray report?,182,True
What abnormality is present according to the report?,182,True
Is there any opacity?,182,True
What are the key findings in this chest X-ray report?,183,True
What abnormality is present according to the report?,183,True
Is there any opacity?,183,True
What are the key findings in this chest X-ray report?,184,True
What abnormality is present according to the report?,184,True
What are the key findings in this chest X-ray report?,185,True
What abnormality is present according to the report?,185,True
Is there any opacity?,185,True
What are the key findings in this chest X-ray report?,186,True
What abnormality is present according to the report?,186,True
Is the heart size normal?,186,True
What are the key findings in this chest X-ray report?,187,True
What abnormality is present according to the report?,187,True
What are the key findings in this chest X-ray report?,188,True
What abnormality is present according to the report?,188,True
Is there any effusion?,188,True
Is there any atelectasis?,188,True
What are the key findings in this chest X-ray report?,189,True
What abnormality is present according to the report?,189,True
Is there any opacity?,189,True
Is there any atelectasis?,189,True
What are the key findings in this chest X-ray report?,190,True
What abnormality is present according to the report?,190,True
Is the heart size normal?,190,True
What are the key findings in this chest X-ray report?,191,True
What abnormality is present according to the report?,191,True
Is the heart size normal?,191,True
What are the key findings in this chest X-ray report?,192,True
What abnormality is present according to the report?,192,True
What are the key findings in this chest X-ray report?,193,True
What abnormality is present according to the report?,193,True
What are the key findings in this chest X-ray report?,194,True
What abnormality is present according to the report?,194,True
Is there any atelectasis?,194,True
What are the key findings in this chest X-ray report?,195,True
What abnormality is present according to the report?,195,True
Is the heart size normal?,195,True
What are the key findings in this chest X-ray report?,196,True
What abnormality is present according to the report?,196,True
Is the heart size normal?,196,True
What are the key findings in this chest X-ray report?,197,True
What abnormality is present according to the report?,197,True
What are the key findings in this chest X-ray report?,198,True
What abnormality is present according to the report?,198,True
What are the key findings in this chest X-ray report?,200,True
What abnormality is present according to the report?,200,True
Is the heart size normal?,200,True
What are the key findings in this chest X-ray report?,201,True
What abnormality is present according to the report?,201,True
Is there any opacity?,201,True
Is there any atelectasis?,201,True
What are the key findings in this chest X-ray report?,202,True
What abnormality is present according to the report?,202,True
Is there any cardiomegaly?,202,True
Is there any effusion?,202,True
Is there any opacity?,202,True
What are the key findings in this chest X-ray report?,203,True
What abnormality is present according to the report?,203,True
Is the heart size normal?,203,True
What are the key findings in this chest X-ray report?,204,True
What abnormality is present according to the report?,204,True
Is the heart size normal?,204,True
What are the key findings in this chest X-ray report?,205,True
What abnormality is present according to the report?,205,True
What are the key findings in this chest X-ray report?,206,True
What abnormality is present according to the report?,206,True
Is there any cardiomegaly?,206,True
What are the key findings in this chest X-ray report?,207,True
What abnormality is present according to the report?,207,True
Is the heart size normal?,207,True
What are the key findings in this chest X-ray report?,208,True
What abnormality is present according to the report?,208,True
Is the heart size normal?,208,True
What are the key findings in this chest X-ray report?,209,True
What abnormality is present according to the report?,209,True
What are the key findings in this chest X-ray report?,210,True
What abnormality is present according to the report?,210,True
What are the key findings in this chest X-ray report?,211,True
What abnormality is present according to the report?,211,True
Is the heart size normal?,211,True
What are the key findings in this chest X-ray report?,212,True
What abnormality is present according to the report?,212,True
What are the key findings in this chest X-ray report?,214,True
What abnormality is present according to the report?,214,True
Is there any cardiomegaly?,214,True
What are the key findings in this chest X-ray report?,215,True
What abnormality is present according to the report?,215,True
Is there any cardiomegaly?,215,True
What are the key findings in this chest X-ray report?,216,True
What abnormality is present according to the report?,216,True
Is there any cardiomegaly?,216,True
Is there any atelectasis?,216,True
What are the key findings in this chest X-ray report?,217,True
What abnormality is present according to the report?,217,True
Is the heart size normal?,217,True
What are the key findings in this chest X-ray report?,218,True
What abnormality is present according to the report?,218,True
Is there any opacity?,218,True
What are the key findings in this chest X-ray report?,219,True
What abnormality is present according to the report?,219,True
Is the heart size normal?,219,True
What are the key findings in this chest X-ray report?,220,True
What abnormality is present according to the report?,220,True
What are the key findings in this chest X-ray report?,221,True
What abnormality is present according to the report?,221,True
What are the key findings in this chest X-ray report?,222,True
What abnormality is present according to the report?,222,True
Is the heart size normal?,222,True
What are the key findings in this chest X-ray report?,223,True
What abnormality is present according to the report?,223,True
What are the key findings in this chest X-ray report?,224,True
What abnormality is present according to the report?,224,True
Is the heart size normal?,224,True
What are the key findings in this chest X-ray report?,225,True
What abnormality is present according to the report?,225,True
Is the heart size normal?,225,True
What are the key findings in this chest X-ray report?,226,True
What abnormality is present according to the report?,226,True
Is the heart size normal?,226,True
What are the key findings in this chest X-ray report?,227,True
What abnormality is present according to the report?,227,True
Is there any cardiomegaly?,227,True
Is there any effusion?,227,True
Is there any opacity?,227,True
Is there any edema?,227,True
What are the key findings in this chest X-ray report?,228,True
What abnormality is present according to the report?,228,True
What are the key findings in this chest X-ray report?,229,True
What abnormality is present according to the report?,229,True
What are the key findings in this chest X-ray report?,230,True
What abnormality is present according to the report?,230,True
What are the key findings in this chest X-ray report?,233,True
What abnormality is present according to the report?,233,True
Is there any opacity?,233,True
Is there any atelectasis?,233,True
What are the key findings in this chest X-ray report?,234,True
What abnormality is present according to the report?,234,True
Is the heart size normal?,234,True
What are the key findings in this chest X-ray report?,235,True
What abnormality is present according to the report?,235,True
Is there any cardiomegaly?,235,True
Is there any opacity?,235,True
Is there any edema?,235,True
What are the key findings in this chest X-ray report?,236,True
What abnormality is present according to the report?,236,True
Is the heart size normal?,236,True
What are the key findings in this chest X-ray report?,237,True
What abnormality is present according to the report?,237,True
What are the key findings in this chest X-ray report?,238,True
What abnormality is present according to the report?,238,True
Is the heart size normal?,238,True
What are the key findings in this chest X-ray report?,239,True
What abnormality is present according to the report?,239,True
Is the heart size normal?,239,True
What are the key findings in this chest X-ray report?,240,True
What abnormality is present according to the report?,240,True
What are the key findings in this chest X-ray report?,241,True
What abnormality is present according to the report?,241,True
Is the heart size normal?,241,True
What are the key findings in this chest X-ray report?,242,True
What abnormality is present according to the report?,242,True
Is the heart size normal?,242,True
What are the key findings in this chest X-ray report?,243,True
What abnormality is present according to the report?,243,True
Is the heart size normal?,243,True
What are the key findings in this chest X-ray report?,244,True
What abnormality is present according to the report?,244,True
Is the heart size normal?,244,True
What are the key findings in this chest X-ray report?,245,True
What abnormality is present according to the report?,245,True
What are the key findings in this chest X-ray report?,246,True
What abnormality is present according to the report?,246,True
Is the heart size normal?,246,True
What are the key findings in this chest X-ray report?,247,True
What abnormality is present according to the report?,247,True
Is the heart size normal?,247,True
What are the key findings in this chest X-ray report?,248,True
What abnormality is present according to the report?,248,True
What are the key findings in this chest X-ray report?,249,True
What abnormality is present according to the report?,249,True
What are the key findings in this chest X-ray report?,250,True
What abnormality is present according to the report?,250,True
What are the key findings in this chest X-ray report?,251,True
What abnormality is present according to the report?,251,True
What are the key findings in this chest X-ray report?,252,True
What abnormality is present according to the report?,252,True
Is the heart size normal?,252,True
What are the key findings in this chest X-ray report?,253,True
What abnormality is present according to the report?,253,True
Is there any pneumothorax?,253,True
What are the key findings in this chest X-ray report?,254,True
What abnormality is present according to the report?,254,True
What are the key findings in this chest X-ray report?,255,True
What abnormality is present according to the report?,255,True
Is the heart size normal?,255,True
What are the key findings in this chest X-ray report?,256,True
What abnormality is present according to the report?,256,True
What are the key findings in this chest X-ray report?,257,True
What abnormality is present according to the report?,257,True
Is there any opacity?,257,True
What are the key findings in this chest X-ray report?,258,True
What abnormality is present according to the report?,258,True
What are the key findings in this chest X-ray report?,259,True
What abnormality is present according to the report?,259,True
Is the heart size normal?,259,True
What are the key findings in this chest X-ray report?,260,True
What abnormality is present according to the report?,260,True
What are the key findings in this chest X-ray report?,261,True
What abnormality is present according to the report?,261,True
Is the heart size normal?,261,True
What are the key findings in this chest X-ray report?,262,True
What abnormality is present according to the report?,262,True
Is the heart size normal?,262,True
What are the key findings in this chest X-ray report?,263,True
What abnormality is present according to the report?,263,True
Is the heart size normal?,263,True
What are the key findings in this chest X-ray report?,264,True
What abnormality is present according to the report?,264,True
Is the heart size normal?,264,True
What are the key findings in this chest X-ray report?,266,True
What abnormality is present according to the report?,266,True
Is there any cardiomegaly?,266,True
What are the key findings in this chest X-ray report?,267,True
What abnormality is present according to the report?,267,True
Is there any effusion?,267,True
What are the key findings in this chest X-ray report?,268,True
What abnormality is present according to the report?,268,True
Is there any opacity?,268,True
What are the key findings in this chest X-ray report?,269,True
What abnormality is present according to the report?,269,True
Is the heart size normal?,269,True
What are the key findings in this chest X-ray report?,270,True
What abnormality is present according to the report?,270,True
Is the heart size normal?,270,True
What are the key findings in this chest X-ray report?,271,True
What abnormality is present according to the report?,271,True
Is the heart size normal?,271,True
What are the key findings in this chest X-ray report?,272,True
What abnormality is present according to the report?,272,True
Is the heart size normal?,272,True
What are the key findings in this chest X-ray report?,273,True
What abnormality is present according to the report?,273,True
Is there any cardiomegaly?,273,True
What are the key findings in this chest X-ray report?,274,True
What abnormality is present according to the report?,274,True
What are the key findings in this chest X-ray report?,275,True
What abnormality is present according to the report?,275,True
Is the heart size normal?,275,True
What are the key findings in this chest X-ray report?,276,True
What abnormality is present according to the report?,276,True
Is the heart size normal?,276,True
What are the key findings in this chest X-ray report?,277,True
What abnormality is present according to the report?,277,True
What are the key findings in this chest X-ray report?,278,True
What abnormality is present according to the report?,278,True
Is there any opacity?,278,True
What are the key findings in this chest X-ray report?,279,True
What abnormality is present according to the report?,279,True
Is the heart size normal?,279,True
What are the key findings in this chest X-ray report?,280,True
What abnormality is present according to the report?,280,True
What are the key findings in this chest X-ray report?,281,True
What abnormality is present according to the report?,281,True
Is the heart size normal?,281,True
What are the key findings in this chest X-ray report?,282,True
What abnormality is present according to the report?,282,True
Is the heart size normal?,282,True
What are the key findings in this chest X-ray report?,283,True
What abnormality is present according to the report?,283,True
Is the heart size normal?,283,True
What are the key findings in this chest X-ray report?,284,True
What abnormality is present according to the report?,284,True
Is the heart size normal?,284,True
What are the key findings in this chest X-ray report?,285,True
What abnormality is present according to the report?,285,True
Is there any atelectasis?,285,True
What are the key findings in this chest X-ray report?,286,True
What abnormality is present according to the report?,286,True
What are the key findings in this chest X-ray report?,287,True
What abnormality is present according to the report?,287,True
Is the heart size normal?,287,True
What are the key findings in this chest X-ray report?,288,True
What abnormality is present according to the report?,288,True
What are the key findings in this chest X-ray report?,289,True
What abnormality is present according to the report?,289,True
What are the key findings in this chest X-ray report?,290,True
What abnormality is present according to the report?,290,True
What are the key findings in this chest X-ray report?,291,True
What abnormality is present according to the report?,291,True
Is the heart size normal?,291,True
What are the key findings in this chest X-ray report?,292,True
What abnormality is present according to the report?,292,True
What are the key findings in this chest X-ray report?,293,True
What abnormality is present according to the report?,293,True
What are the key findings in this chest X-ray report?,294,True
What abnormality is present according to the report?,294,True
What are the key findings in this chest X-ray report?,295,True
What abnormality is present according to the report?,295,True
What are the key findings in this chest X-ray report?,296,True
What abnormality is present according to the report?,296,True
What are the key findings in this chest X-ray report?,297,True
What abnormality is present according to the report?,297,True
Is there any opacity?,297,True
Is there any atelectasis?,297,True
What are the key findings in this chest X-ray report?,298,True
What abnormality is present according to the report?,298,True
Is the heart size normal?,298,True
What are the key findings in this chest X-ray report?,299,True
What abnormality is present according to the report?,299,True
What are the key findings in this chest X-ray report?,300,True
What abnormality is present according to the report?,300,True
What are the key findings in this chest X-ray report?,301,True
What abnormality is present according to the report?,301,True
Is the heart size normal?,301,True
What are the key findings in this chest X-ray report?,302,True
What abnormality is present according to the report?,302,True
What are the key findings in this chest X-ray report?,303,True
What abnormality is present according to the report?,303,True
Is there any opacity?,303,True
Is there any atelectasis?,303,True
