question,uid,hit
Is there any atelectasis?,54,False
What are the key findings in this chest X-ray report?,55,False
What abnormality is present according to the report?,55,False
What are the key findings in this chest X-ray report?,56,False
What abnormality is present according to the report?,56,False
Is the heart size normal?,56,False
What are the key findings in this chest X-ray report?,57,False
What abnormality is present according to the report?,57,False
Is there any opacity?,57,False
What are the key findings in this chest X-ray report?,58,False
What abnormality is present according to the report?,58,False
What are the key findings in this chest X-ray report?,59,False
What abnormality is present according to the report?,59,False
What are the key findings in this chest X-ray report?,60,False
What abnormality is present according to the report?,60,False
What are the key findings in this chest X-ray report?,61,False
What abnormality is present according to the report?,61,False
What are the key findings in this chest X-ray report?,62,False
What abnormality is present according to the report?,62,False
What are the key findings in this chest X-ray report?,63,False
What abnormality is present according to the report?,63,False
What are the key findings in this chest X-ray report?,64,False
What abnormality is present according to the report?,64,False
Is there any pneumothorax?,64,False
What are the key findings in this chest X-ray report?,65,False
What abnormality is present according to the report?,65,False
Is the heart size normal?,65,False
What are the key findings in this chest X-ray report?,66,False
What abnormality is present according to the report?,66,False
Is the heart size normal?,66,False
What are the key findings in this chest X-ray report?,67,False
What abnormality is present according to the report?,67,False
What are the key findings in this chest X-ray report?,68,False
What abnormality is present according to the report?,68,False
Is the heart size normal?,68,False
What are the key findings in this chest X-ray report?,69,False
What abnormality is present according to the report?,69,False
Is the heart size normal?,69,False
What are the key findings in this chest X-ray report?,70,False
What abnormality is present according to the report?,70,False
What are the key findings in this chest X-ray report?,71,False
What abnormality is present according to the report?,71,False
Is the heart size normal?,71,False
What are the key findings in this chest X-ray report?,72,False
What abnormality is present according to the report?,72,False
Is the heart size normal?,72,False
What are the key findings in this chest X-ray report?,73,False
What abnormality is present according to the report?,73,False
Is there any effusion?,73,False
Is there any atelectasis?,73,False
What are the key findings in this chest X-ray report?,74,False
What abnormality is present according to the report?,74,False
What are the key findings in this chest X-ray report?,75,False
What abnormality is present according to the report?,75,False
Is there any opacity?,75,False
What are the key findings in this chest X-ray report?,76,False
What abnormality is present according to the report?,76,False
What are the key findings in this chest X-ray report?,77,False
What abnormality is present according to the report?,77,False
What are the key findings in this chest X-ray report?,78,False
What abnormality is present according to the report?,78,False
Is there any atelectasis?,78,False
What are the key findings in this chest X-ray report?,79,False
What abnormality is present according to the report?,79,False
Is the heart size normal?,79,False
What are the key findings in this chest X-ray report?,80,False
What abnormality is present according to the report?,80,False
Is the heart size normal?,80,False
What are the key findings in this chest X-ray report?,81,False
What abnormality is present according to the report?,81,False
Is the heart size normal?,81,False
What are the key findings in this chest X-ray report?,82,False
What abnormality is present according to the report?,82,False
What are the key findings in this chest X-ray report?,83,False
What abnormality is present according to the report?,83,False
Is the heart size normal?,83,False
What are the key findings in this chest X-ray report?,84,False
What abnormality is present according to the report?,84,False
What are the key findings in this chest X-ray report?,85,False
What abnormality is present according to the report?,85,False
What are the key findings in this chest X-ray report?,86,False
What abnormality is present according to the report?,86,False
Is the heart size normal?,86,False
What are the key findings in this chest X-ray report?,87,False
What abnormality is present according to the report?,87,False
Is the heart size normal?,87,False
What are the key findings in this chest X-ray report?,88,False
What abnormality is present according to the report?,88,False
Is there any cardiomegaly?,88,False
What are the key findings in this chest X-ray report?,89,False
What abnormality is present according to the report?,89,False
Is the heart size normal?,89,False
What are the key findings in this chest X-ray report?,90,False
What abnormality is present according to the report?,90,False
What are the key findings in this chest X-ray report?,91,False
What abnormality is present according to the report?,91,False
Is there any pneumothorax?,91,False
What are the key findings in this chest X-ray report?,92,False
What abnormality is present according to the report?,92,False
What are the key findings in this chest X-ray report?,93,False
What abnormality is present according to the report?,93,False
What are the key findings in this chest X-ray report?,94,False
What abnormality is present according to the report?,94,False
Is the heart size normal?,94,False
What are the key findings in this chest X-ray report?,95,False
What abnormality is present according to the report?,95,False
What are the key findings in this chest X-ray report?,96,False
What abnormality is present according to the report?,96,False
Is the heart size normal?,96,False
What are the key findings in this chest X-ray report?,97,False
What abnormality is present according to the report?,97,False
What are the key findings in this chest X-ray report?,98,False
What abnormality is present according to the report?,98,False
Is there any atelectasis?,98,False
What are the key findings in this chest X-ray report?,99,False
What abnormality is present according to the report?,99,False
What are the key findings in this chest X-ray report?,100,False
What abnormality is present according to the report?,100,False
Is the heart size normal?,100,False
What are the key findings in this chest X-ray report?,101,False
What abnormality is present according to the report?,101,False
Is there any cardiomegaly?,101,False
Is there any opacity?,101,False
Is there any atelectasis?,101,False
What are the key findings in this chest X-ray report?,102,False
What abnormality is present according to the report?,102,False
What are the key findings in this chest X-ray report?,103,False
What abnormality is present according to the report?,103,False
What are the key findings in this chest X-ray report?,104,False
What abnormality is present according to the report?,104,False
Is there any opacity?,104,False
What are the key findings in this chest X-ray report?,105,False
What abnormality is present according to the report?,105,False
Is there any effusion?,105,False
What are the key findings in this chest X-ray report?,106,False
What abnormality is present according to the report?,106,False
Is the heart size normal?,106,False
What are the key findings in this chest X-ray report?,107,False
What abnormality is present according to the report?,107,False
Is the heart size normal?,107,False
What are the key findings in this chest X-ray report?,108,False
What abnormality is present according to the report?,108,False
What are the key findings in this chest X-ray report?,110,False
What abnormality is present according to the report?,110,False
Is the heart size normal?,110,False
What are the key findings in this chest X-ray report?,111,False
What abnormality is present according to the report?,111,False
Is there any effusion?,111,False
What are the key findings in this chest X-ray report?,112,False
What abnormality is present according to the report?,112,False
What are the key findings in this chest X-ray report?,113,False
What abnormality is present according to the report?,113,False
Is there any opacity?,113,False
What are the key findings in this chest X-ray report?,114,False
What abnormality is present according to the report?,114,False
Is the heart size normal?,114,False
What are the key findings in this chest X-ray report?,115,False
What abnormality is present according to the report?,115,False
What are the key findings in this chest X-ray report?,116,False
What abnormality is present according to the report?,116,False
What are the key findings in this chest X-ray report?,117,False
What abnormality is present according to the report?,117,False
Is the heart size normal?,117,False
What are the key findings in this chest X-ray report?,118,False
What abnormality is present according to the report?,118,False
What are the key findings in this chest X-ray report?,119,False
What abnormality is present according to the report?,119,False
Is the heart size normal?,119,False
What are the key findings in this chest X-ray report?,120,False
What abnormality is present according to the report?,120,False
What are the key findings in this chest X-ray report?,121,False
What abnormality is present according to the report?,121,False
Is the heart size normal?,121,False
What are the key findings in this chest X-ray report?,122,False
What abnormality is present according to the report?,122,False
What are the key findings in this chest X-ray report?,123,False
What abnormality is present according to the report?,123,False
Is there any cardiomegaly?,123,False
Is there any opacity?,123,False
What are the key findings in this chest X-ray report?,124,False
What abnormality is present according to the report?,124,False
Is there any effusion?,124,False
What are the key findings in this chest X-ray report?,125,False
What abnormality is present according to the report?,125,False
What are the key findings in this chest X-ray report?,126,False
What abnormality is present according to the report?,126,False
Is there any opacity?,126,False
What are the key findings in this chest X-ray report?,127,False
What abnormality is present according to the report?,127,False
What are the key findings in this chest X-ray report?,128,False
What abnormality is present according to the report?,128,False
What are the key findings in this chest X-ray report?,129,False
What abnormality is present according to the report?,129,False
Is the heart size normal?,129,False
What are the key findings in this chest X-ray report?,130,False
What abnormality is present according to the report?,130,False
What are the key findings in this chest X-ray report?,131,False
What abnormality is present according to the report?,131,False
What are the key findings in this chest X-ray report?,132,False
What abnormality is present according to the report?,132,False
What are the key findings in this chest X-ray report?,133,False
What abnormality is present according to the report?,133,False
Is the heart size normal?,133,False
What are the key findings in this chest X-ray report?,134,False
What abnormality is present according to the report?,134,False
What are the key findings in this chest X-ray report?,135,False
What abnormality is present according to the report?,135,False
Is the heart size normal?,135,False
What are the key findings in this chest X-ray report?,136,False
What abnormality is present according to the report?,136,False
Is the heart size normal?,136,False
What are the key findings in this chest X-ray report?,137,False
What abnormality is present according to the report?,137,False
Is there any opacity?,137,False
Is there any atelectasis?,137,False
What are the key findings in this chest X-ray report?,138,False
What abnormality is present according to the report?,138,False
Is the heart size normal?,138,False
What are the key findings in this chest X-ray report?,139,False
What abnormality is present according to the report?,139,False
Is there any cardiomegaly?,139,False
Is there any opacity?,139,False
What are the key findings in this chest X-ray report?,141,False
What abnormality is present according to the report?,141,False
Is the heart size normal?,141,False
What are the key findings in this chest X-ray report?,142,False
What abnormality is present according to the report?,142,False
Is the heart size normal?,142,False
What are the key findings in this chest X-ray report?,143,False
What abnormality is present according to the report?,143,False
What are the key findings in this chest X-ray report?,144,False
What abnormality is present according to the report?,144,False
Is there any atelectasis?,144,False
What are the key findings in this chest X-ray report?,145,False
What abnormality is present according to the report?,145,False
Is there any effusion?,145,False
What are the key findings in this chest X-ray report?,146,False
What abnormality is present according to the report?,146,False
What are the key findings in this chest X-ray report?,147,False
What abnormality is present according to the report?,147,False
Is the heart size normal?,147,False
What are the key findings in this chest X-ray report?,149,False
What abnormality is present according to the report?,149,False
Is the heart size normal?,149,False
What are the key findings in this chest X-ray report?,150,False
What abnormality is present according to the report?,150,False
What are the key findings in this chest X-ray report?,151,False
What abnormality is present according to the report?,151,False
What are the key findings in this chest X-ray report?,152,False
What abnormality is present according to the report?,152,False
Is there any cardiomegaly?,152,False
What are the key findings in this chest X-ray report?,153,False
What abnormality is present according to the report?,153,False
Is there any effusion?,153,False
What are the key findings in this chest X-ray report?,154,False
What abnormality is present according to the report?,154,False
Is the heart size normal?,154,False
What are the key findings in this chest X-ray report?,155,False
What abnormality is present according to the report?,155,False
What are the key findings in this chest X-ray report?,157,False
What abnormality is present according to the report?,157,False
Is the heart size normal?,157,False
What are the key findings in this chest X-ray report?,158,False
What abnormality is present according to the report?,158,False
Is the heart size normal?,158,False
What are the key findings in this chest X-ray report?,159,False
What abnormality is present according to the report?,159,False
What are the key findings in this chest X-ray report?,160,False
What abnormality is present according to the report?,160,False
Is there any opacity?,160,False
What are the key findings in this chest X-ray report?,161,False
What abnormality is present according to the report?,161,False
Is there any atelectasis?,161,False
What are the key findings in this chest X-ray report?,162,False
What abnormality is present according to the report?,162,False
Is the heart size normal?,162,False
What are the key findings in this chest X-ray report?,163,False
What abnormality is present according to the report?,163,False
What are the key findings in this chest X-ray report?,164,False
What abnormality is present according to the report?,164,False
Is the heart size normal?,164,False
What are the key findings in this chest X-ray report?,165,False
What abnormality is present according to the report?,165,False
What are the key findings in this chest X-ray report?,166,False
What abnormality is present according to the report?,166,False
What are the key findings in this chest X-ray report?,167,False
What abnormality is present according to the report?,167,False
What are the key findings in this chest X-ray report?,168,False
What abnormality is present according to the report?,168,False
What are the key findings in this chest X-ray report?,169,False
What abnormality is present according to the report?,169,False
Is the heart size normal?,169,False
What are the key findings in this chest X-ray report?,170,False
What abnormality is present according to the report?,170,False
What are the key findings in this chest X-ray report?,171,False
What abnormality is present according to the report?,171,False
Is the heart size normal?,171,False
What are the key findings in this chest X-ray report?,172,False
What abnormality is present according to the report?,172,False
What are the key findings in this chest X-ray report?,173,False
What abnormality is present according to the report?,173,False
What are the key findings in this chest X-ray report?,174,False
What abnormality is present according to the report?,174,False
What are the key findings in this chest X-ray report?,175,False
What abnormality is present according to the report?,175,False
Is there any cardiomegaly?,175,False
Is there any opacity?,175,False
Is there any atelectasis?,175,False
What are the key findings in this chest X-ray report?,176,False
What abnormality is present according to the report?,176,False
Is the heart size normal?,176,False
What are the key findings in this chest X-ray report?,177,False
What abnormality is present according to the report?,177,False
Is there any cardiomegaly?,177,False
Is there any effusion?,177,False
Is there any opacity?,177,False
Is there any atelectasis?,177,False
What are the key findings in this chest X-ray report?,178,False
What abnormality is present according to the report?,178,False
Is there any opacity?,178,False
What are the key findings in this chest X-ray report?,179,False
What abnormality is present according to the report?,179,False
What are the key findings in this chest X-ray report?,181,False
What abnormality is present according to the report?,181,False
What are the key findings in this chest X-ray report?,182,False
What abnormality is present according to the report?,182,False
Is there any opacity?,182,False
What are the key findings in this chest X-ray report?,183,False
What abnormality is present according to the report?,183,False
Is there any opacity?,183,False
What are the key findings in this chest X-ray report?,184,False
What abnormality is present according to the report?,184,False
What are the key findings in this chest X-ray report?,185,False
What abnormality is present according to the report?,185,False
Is there any opacity?,185,False
What are the key findings in this chest X-ray report?,186,False
What abnormality is present according to the report?,186,False
Is the heart size normal?,186,False
What are the key findings in this chest X-ray report?,187,False
What abnormality is present according to the report?,187,False
What are the key findings in this chest X-ray report?,188,False
What abnormality is present according to the report?,188,False
Is there any effusion?,188,False
Is there any atelectasis?,188,False
What are the key findings in this chest X-ray report?,189,False
What abnormality is present according to the report?,189,False
Is there any opacity?,189,False
Is there any atelectasis?,189,False
What are the key findings in this chest X-ray report?,190,False
What abnormality is present according to the report?,190,False
Is the heart size normal?,190,False
What are the key findings in this chest X-ray report?,191,False
What abnormality is present according to the report?,191,False
Is the heart size normal?,191,False
What are the key findings in this chest X-ray report?,192,False
What abnormality is present according to the report?,192,False
What are the key findings in this chest X-ray report?,193,False
What abnormality is present according to the report?,193,False
What are the key findings in this chest X-ray report?,194,False
What abnormality is present according to the report?,194,False
Is there any atelectasis?,194,False
What are the key findings in this chest X-ray report?,195,False
What abnormality is present according to the report?,195,False
Is the heart size normal?,195,False
What are the key findings in this chest X-ray report?,196,False
What abnormality is present according to the report?,196,False
Is the heart size normal?,196,False
What are the key findings in this chest X-ray report?,197,False
What abnormality is present according to the report?,197,False
What are the key findings in this chest X-ray report?,198,False
What abnormality is present according to the report?,198,False
What are the key findings in this chest X-ray report?,200,False
What abnormality is present according to the report?,200,False
Is the heart size normal?,200,False
What are the key findings in this chest X-ray report?,201,False
What abnormality is present according to the report?,201,False
Is there any opacity?,201,False
Is there any atelectasis?,201,False
What are the key findings in this chest X-ray report?,202,False
What abnormality is present according to the report?,202,False
Is there any cardiomegaly?,202,False
Is there any effusion?,202,False
Is there any opacity?,202,False
What are the key findings in this chest X-ray report?,203,False
What abnormality is present according to the report?,203,False
Is the heart size normal?,203,False
What are the key findings in this chest X-ray report?,204,False
What abnormality is present according to the report?,204,False
Is the heart size normal?,204,False
What are the key findings in this chest X-ray report?,205,False
What abnormality is present according to the report?,205,False
What are the key findings in this chest X-ray report?,206,False
What abnormality is present according to the report?,206,False
Is there any cardiomegaly?,206,False
What are the key findings in this chest X-ray report?,207,False
What abnormality is present according to the report?,207,False
Is the heart size normal?,207,False
What are the key findings in this chest X-ray report?,208,False
What abnormality is present according to the report?,208,False
Is the heart size normal?,208,False
What are the key findings in this chest X-ray report?,209,False
What abnormality is present according to the report?,209,False
What are the key findings in this chest X-ray report?,210,False
What abnormality is present according to the report?,210,False
What are the key findings in this chest X-ray report?,211,False
What abnormality is present according to the report?,211,False
Is the heart size normal?,211,False
What are the key findings in this chest X-ray report?,212,False
What abnormality is present according to the report?,212,False
What are the key findings in this chest X-ray report?,214,False
What abnormality is present according to the report?,214,False
Is there any cardiomegaly?,214,False
What are the key findings in this chest X-ray report?,215,False
What abnormality is present according to the report?,215,False
Is there any cardiomegaly?,215,False
What are the key findings in this chest X-ray report?,216,False
What abnormality is present according to the report?,216,False
Is there any cardiomegaly?,216,False
Is there any atelectasis?,216,False
What are the key findings in this chest X-ray report?,217,False
What abnormality is present according to the report?,217,False
Is the heart size normal?,217,False
What are the key findings in this chest X-ray report?,218,False
What abnormality is present according to the report?,218,False
Is there any opacity?,218,False
What are the key findings in this chest X-ray report?,219,False
What abnormality is present according to the report?,219,False
Is the heart size normal?,219,False
What are the key findings in this chest X-ray report?,220,False
What abnormality is present according to the report?,220,False
What are the key findings in this chest X-ray report?,221,False
What abnormality is present according to the report?,221,False
What are the key findings in this chest X-ray report?,222,False
What abnormality is present according to the report?,222,False
Is the heart size normal?,222,False
What are the key findings in this chest X-ray report?,223,False
What abnormality is present according to the report?,223,False
What are the key findings in this chest X-ray report?,224,False
What abnormality is present according to the report?,224,False
Is the heart size normal?,224,False
What are the key findings in this chest X-ray report?,225,False
What abnormality is present according to the report?,225,False
Is the heart size normal?,225,False
What are the key findings in this chest X-ray report?,226,False
What abnormality is present according to the report?,226,False
Is the heart size normal?,226,False
What are the key findings in this chest X-ray report?,227,False
What abnormality is present according to the report?,227,False
Is there any cardiomegaly?,227,False
Is there any effusion?,227,False
Is there any opacity?,227,False
Is there any edema?,227,False
What are the key findings in this chest X-ray report?,228,False
What abnormality is present according to the report?,228,False
What are the key findings in this chest X-ray report?,229,False
What abnormality is present according to the report?,229,False
What are the key findings in this chest X-ray report?,230,False
What abnormality is present according to the report?,230,False
What are the key findings in this chest X-ray report?,233,False
What abnormality is present according to the report?,233,False
Is there any opacity?,233,False
Is there any atelectasis?,233,False
What are the key findings in this chest X-ray report?,234,False
What abnormality is present according to the report?,234,False
Is the heart size normal?,234,False
What are the key findings in this chest X-ray report?,235,False
What abnormality is present according to the report?,235,False
Is there any cardiomegaly?,235,False
Is there any opacity?,235,False
Is there any edema?,235,False
What are the key findings in this chest X-ray report?,236,False
What abnormality is present according to the report?,236,False
Is the heart size normal?,236,False
What are the key findings in this chest X-ray report?,237,False
What abnormality is present according to the report?,237,False
What are the key findings in this chest X-ray report?,238,False
What abnormality is present according to the report?,238,False
Is the heart size normal?,238,False
What are the key findings in this chest X-ray report?,239,False
What abnormality is present according to the report?,239,False
Is the heart size normal?,239,False
What are the key findings in this chest X-ray report?,240,False
What abnormality is present according to the report?,240,False
What are the key findings in this chest X-ray report?,241,False
What abnormality is present according to the report?,241,False
Is the heart size normal?,241,False
What are the key findings in this chest X-ray report?,242,False
What abnormality is present according to the report?,242,False
Is the heart size normal?,242,False
What are the key findings in this chest X-ray report?,243,False
What abnormality is present according to the report?,243,False
Is the heart size normal?,243,False
What are the key findings in this chest X-ray report?,244,False
What abnormality is present according to the report?,244,False
Is the heart size normal?,244,False
What are the key findings in this chest X-ray report?,245,False
What abnormality is present according to the report?,245,False
What are the key findings in this chest X-ray report?,246,False
What abnormality is present according to the report?,246,False
Is the heart size normal?,246,False
What are the key findings in this chest X-ray report?,247,False
What abnormality is present according to the report?,247,False
Is the heart size normal?,247,False
What are the key findings in this chest X-ray report?,248,False
What abnormality is present according to the report?,248,False
What are the key findings in this chest X-ray report?,249,False
What abnormality is present according to the report?,249,False
What are the key findings in this chest X-ray report?,250,False
What abnormality is present according to the report?,250,False
What are the key findings in this chest X-ray report?,251,False
What abnormality is present according to the report?,251,False
What are the key findings in this chest X-ray report?,252,False
What abnormality is present according to the report?,252,False
Is the heart size normal?,252,False
What are the key findings in this chest X-ray report?,253,False
What abnormality is present according to the report?,253,False
Is there any pneumothorax?,253,False
What are the key findings in this chest X-ray report?,254,False
What abnormality is present according to the report?,254,False
What are the key findings in this chest X-ray report?,255,False
What abnormality is present according to the report?,255,False
Is the heart size normal?,255,False
What are the key findings in this chest X-ray report?,256,False
What abnormality is present according to the report?,256,False
What are the key findings in this chest X-ray report?,257,False
What abnormality is present according to the report?,257,False
Is there any opacity?,257,False
What are the key findings in this chest X-ray report?,258,False
What abnormality is present according to the report?,258,False
What are the key findings in this chest X-ray report?,259,False
What abnormality is present according to the report?,259,False
Is the heart size normal?,259,False
What are the key findings in this chest X-ray report?,260,False
What abnormality is present according to the report?,260,False
What are the key findings in this chest X-ray report?,261,False
What abnormality is present according to the report?,261,False
Is the heart size normal?,261,False
What are the key findings in this chest X-ray report?,262,False
What abnormality is present according to the report?,262,False
Is the heart size normal?,262,False
What are the key findings in this chest X-ray report?,263,False
What abnormality is present according to the report?,263,False
Is the heart size normal?,263,False
What are the key findings in this chest X-ray report?,264,False
What abnormality is present according to the report?,264,False
Is the heart size normal?,264,False
What are the key findings in this chest X-ray report?,266,False
What abnormality is present according to the report?,266,False
Is there any cardiomegaly?,266,False
What are the key findings in this chest X-ray report?,267,False
What abnormality is present according to the report?,267,False
Is there any effusion?,267,False
What are the key findings in this chest X-ray report?,268,False
What abnormality is present according to the report?,268,False
Is there any opacity?,268,False
What are the key findings in this chest X-ray report?,269,False
What abnormality is present according to the report?,269,False
Is the heart size normal?,269,False
What are the key findings in this chest X-ray report?,270,False
What abnormality is present according to the report?,270,False
Is the heart size normal?,270,False
What are the key findings in this chest X-ray report?,271,False
What abnormality is present according to the report?,271,False
Is the heart size normal?,271,False
What are the key findings in this chest X-ray report?,272,False
What abnormality is present according to the report?,272,False
Is the heart size normal?,272,False
What are the key findings in this chest X-ray report?,273,False
What abnormality is present according to the report?,273,False
Is there any cardiomegaly?,273,False
What are the key findings in this chest X-ray report?,274,False
What abnormality is present according to the report?,274,False
What are the key findings in this chest X-ray report?,275,False
What abnormality is present according to the report?,275,False
Is the heart size normal?,275,False
What are the key findings in this chest X-ray report?,276,False
What abnormality is present according to the report?,276,False
Is the heart size normal?,276,False
What are the key findings in this chest X-ray report?,277,False
What abnormality is present according to the report?,277,False
What are the key findings in this chest X-ray report?,278,False
What abnormality is present according to the report?,278,False
Is there any opacity?,278,False
What are the key findings in this chest X-ray report?,279,False
What abnormality is present according to the report?,279,False
Is the heart size normal?,279,False
What are the key findings in this chest X-ray report?,280,False
What abnormality is present according to the report?,280,False
What are the key findings in this chest X-ray report?,281,False
What abnormality is present according to the report?,281,False
Is the heart size normal?,281,False
What are the key findings in this chest X-ray report?,282,False
What abnormality is present according to the report?,282,False
Is the heart size normal?,282,False
What are the key findings in this chest X-ray report?,283,False
What abnormality is present according to the report?,283,False
Is the heart size normal?,283,False
What are the key findings in this chest X-ray report?,284,False
What abnormality is present according to the report?,284,False
Is the heart size normal?,284,False
What are the key findings in this chest X-ray report?,285,False
What abnormality is present according to the report?,285,False
Is there any atelectasis?,285,False
What are the key findings in this chest X-ray report?,286,False
What abnormality is present according to the report?,286,False
What are the key findings in this chest X-ray report?,287,False
What abnormality is present according to the report?,287,False
Is the heart size normal?,287,False
What are the key findings in this chest X-ray report?,288,False
What abnormality is present according to the report?,288,False
What are the key findings in this chest X-ray report?,289,False
What abnormality is present according to the report?,289,False
What are the key findings in this chest X-ray report?,290,False
What abnormality is present according to the report?,290,False
What are the key findings in this chest X-ray report?,291,False
What abnormality is present according to the report?,291,False
Is the heart size normal?,291,False
What are the key findings in this chest X-ray report?,292,False
What abnormality is present according to the report?,292,False
What are the key findings in this chest X-ray report?,293,False
What abnormality is present according to the report?,293,False
What are the key findings in this chest X-ray report?,294,False
What abnormality is present according to the report?,294,False
What are the key findings in this chest X-ray report?,295,False
What abnormality is present according to the report?,295,False
What are the key findings in this chest X-ray report?,296,False
What abnormality is present according to the report?,296,False
What are the key findings in this chest X-ray report?,297,False
What abnormality is present according to the report?,297,False
Is there any opacity?,297,False
Is there any atelectasis?,297,False
What are the key findings in this chest X-ray report?,298,False
What abnormality is present according to the report?,298,False
Is the heart size normal?,298,False
What are the key findings in this chest X-ray report?,299,False
What abnormality is present according to the report?,299,False
What are the key findings in this chest X-ray report?,300,False
What abnormality is present according to the report?,300,False
What are the key findings in this chest X-ray report?,301,False
What abnormality is present according to the report?,301,False
Is the heart size normal?,301,False
What are the key findings in this chest X-ray report?,302,False
What abnormality is present according to the report?,302,False
What are the key findings in this chest X-ray report?,303,False
What abnormality is present according to the report?,303,False
Is there any opacity?,303,False
Is there any atelectasis?,303,False
What are the key findings in this chest X-ray report?,304,False
